title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$
Philadelphia,1993,Dec,22,26000000,77324422,201324422
Ever After: A Cinderella Story,1998,Jul,31,26000000,65705772,65705772
Flatliners,1990,Aug,10,26000000,61308153,61308153
Open Range,2003,Aug,15,26000000,58331254,68613992
Red Eye,2005,Aug,19,26000000,57891803,96666486
New Year’s Eve,2011,Dec,9,26000000,54544638,146850273
A Bridge Too Far,1977,Jun,15,26000000,50800000,50800000
Pain & Gain,2013,Apr,24,26000000,49875291,81275291
Final Destination 2,2003,Jan,31,26000000,46896664,90396664
"O Brother, Where Art Thou?",2000,Dec,22,26000000,45506619,75763814
In Good Company,2004,Dec,29,26000000,45489752,63463195
Legion,2010,Jan,22,26000000,40168080,67647574
Lawless,2012,Aug,29,26000000,37397291,54393687
Clockstoppers,2002,Mar,29,26000000,36985501,38788828
Silverado,1985,Jul,10,26000000,33200000,33200000
Brothers,2009,Dec,4,26000000,28544157,45043870
The Best of Me,2014,Oct,17,26000000,26766213,41059418
Agent Cody Banks 2: Destination London,2004,Mar,12,26000000,23514247,28703083
Bad Santa 2,2016,Nov,23,26000000,17782176,23345113
Original Sin,2001,Aug,3,26000000,16521410,16521410
The Raven,2012,Apr,12,26000000,16008272,30601801
Welcome to Mooseport,2004,Feb,20,26000000,14469428,14494770
Highlander: The Final Dimension,1995,Jan,27,26000000,13738574,13738574
Self/Less,2015,Jun,8,26000000,12279691,33667319
Motherless Brooklyn,2019,Nov,1,26000000,9277736,18477736
The Curse of the Jade Scorpion,2001,Aug,24,26000000,7496522,18496522
Judas and the Black Messiah,2021,Feb,12,26000000,5453633,7030560
The Fifth Estate,2013,Oct,18,26000000,3254172,6154172
Blood and Wine,1997,Feb,21,26000000,1083350,1083350
Blood Ties,2013,Oct,30,26000000,42472,2923959
The Grimm Brothers' Snow White,1997,Aug,24,26000000,5000,5000
Flipper,1996,May,17,25530000,20080020,30593313
The Constant Gardener,2005,Aug,31,25500000,33579798,86301599
W.,2008,Oct,17,25100000,25534493,28575778
The Passion of the Christ,2004,Feb,19,25000000,370782930,622313635
Mrs. Doubtfire,1993,Nov,24,25000000,219195051,441286003
Rain Man,1988,Dec,16,25000000,172825435,412800000
The Help,2011,Aug,10,25000000,169705587,213120004
Hidden Figures,2016,Dec,25,25000000,169607287,231771716
Gran Torino,2008,Dec,12,25000000,148095302,274543085
Taken,2008,Apr,9,25000000,145000989,226941585
Ride Along,2014,Jan,17,25000000,134202565,153733800
The Bodyguard,1992,Nov,25,25000000,121945720,410945720
Schindler’s List,1993,Dec,15,25000000,96898818,322197132
"Legally Blonde 2: Red, White & Blonde",2003,Jul,2,25000000,90639088,125339088
Scooby-Doo 2: Monsters Unleashed,2004,Mar,26,25000000,84185387,180856996
Anchorman: The Legend of Ron Burgundy,2004,Jul,9,25000000,84136909,89476265
Up in the Air,2009,Dec,4,25000000,83823381,166842739
Freddy vs. Jason,2003,Aug,15,25000000,82622655,114576403
Bridge to Terabithia,2007,Feb,16,25000000,82234139,137984788
Jimmy Neutron: Boy Genius,2001,Dec,21,25000000,80936232,102992536
Cloverfield,2008,Jan,18,25000000,80048433,171302226
Dear John,2010,Feb,5,25000000,80014842,142033509
Teenage Mutant Ninja Turtles II: The Secret of …,1991,Mar,22,25000000,78656813,78656813
Parental Guidance,2012,Dec,25,25000000,77267296,120832383
The Untouchables,1987,Jun,3,25000000,76270454,76271995
No Country for Old Men,2007,Nov,9,25000000,74273505,164035753
Bridget Jones's Diary,2001,Apr,13,25000000,71500556,277902373
Chocolat,2000,Dec,15,25000000,71309760,152500343
No Strings Attached,2011,Jan,21,25000000,70662220,149228078
Contraband,2012,Jan,13,25000000,66528000,98406855
A Dog’s Purpose,2017,Jan,20,25000000,64321890,203055427
The Lucky One,2012,Apr,19,25000000,60457138,96633833
Tombstone,1993,Dec,25,25000000,56505065,56505065
Romeo Must Die,2000,Mar,22,25000000,55973336,91036760
The Omen,2006,Jun,6,25000000,54607383,119295584
Final Destination 3,2006,Feb,10,25000000,54098051,112798051
Madea’s Big Happy Family,2011,Apr,22,25000000,53345287,54160818
Tyler Perry's A Madea Christmas,2013,Dec,13,25000000,52543354,52543354
Finding Neverland,2004,Nov,12,25000000,51676606,115036108
The Grey,2012,Jan,27,25000000,51580136,81249176
Hide and Seek,2005,Jan,28,25000000,51100486,123696741
Cobra,1986,May,23,25000000,49042224,49042224
The House Bunny,2008,Aug,22,25000000,48237389,71390601
Agent Cody Banks,2003,Mar,14,25000000,47545060,58240458
Nanny McPhee,2006,Jan,27,25000000,47279279,128745578
Goodfellas,1990,Sep,19,25000000,46743809,47103147
The Giver,2014,Aug,15,25000000,45090374,66540205
Scarface,1983,Dec,9,25000000,44942821,44942821
Nothing To Lose,1997,Jul,18,25000000,44480039,64594061
The Last Emperor,1987,Nov,20,25000000,43984987,44005434
The Night Before,2015,Nov,12,25000000,43035725,52568099
The Beverly Hillbillies,1993,Oct,15,25000000,42222647,55598481
The Hours,2002,Dec,27,25000000,41675994,97030468
Money Talks,1997,Aug,22,25000000,41076865,41076865
There Will Be Blood,2007,Dec,26,25000000,40222514,77208711
The Wild Thornberrys Movie,2002,Dec,20,25000000,40108697,60694737
Rugrats Go Wild,2003,Jun,13,25000000,39402572,55443032
The Sisterhood of the Traveling Pants,2005,Jun,1,25000000,39053061,41560117
Undercover Brother,2002,May,31,25000000,38230435,40796145
August: Osage County,2013,Dec,25,25000000,37738810,50738810
Kiss of the Dragon,2001,Jul,6,25000000,36833473,36833473
Million Dollar Arm,2014,May,16,25000000,36447959,39217912
Beauty Shop,2005,Mar,30,25000000,36351350,38351350
Just Mercy,2019,Dec,25,25000000,36001502,50401502
What a Girl Wants,2003,Apr,4,25000000,35990505,37216643
Jeepers Creepers 2,2003,Aug,29,25000000,35623801,119923801
Peppermint,2018,Sep,7,25000000,35418723,51800758
Good Luck Chuck,2007,Sep,21,25000000,35017297,59183821
Cradle 2 the Grave,2003,Feb,28,25000000,34657731,56434942
She's the Man,2006,Mar,17,25000000,33889159,55279608
The Gambler,2014,Dec,10,25000000,33680992,38718031
Mr. Bean’s Holiday,2007,Aug,24,25000000,33302167,234981342
Mother’s Day,2016,Apr,22,25000000,32492859,52367022
Bride of Chucky,1998,Oct,16,25000000,32404188,50692188
Fist Fight,2017,Feb,17,25000000,32187017,40286416
August Rush,2007,Nov,21,25000000,31664162,64605762
Anacondas: The Hunt for the Blood Orchid,2004,Aug,27,25000000,31526393,70326393
The Sitter,2011,Dec,9,25000000,30542576,38749404
Elizabeth,1998,Nov,6,25000000,30082699,82150642
Tora! Tora! Tora!,1970,Sep,23,25000000,29548291,29548291
Spice World,1998,Jan,23,25000000,29342592,56042592
Draft Day,2014,Apr,11,25000000,28842237,29847480
The Shawshank Redemption,1994,Sep,23,25000000,28241469,28419106
Rings,2017,Feb,3,25000000,27793018,82917283
Dance Flick,2009,May,22,25000000,25794018,32224624
Crocodile Dundee in Los Angeles,2001,Apr,20,25000000,25590119,39393111
Kingpin,1996,Jul,26,25000000,25023424,32223424
Ice Princess,2005,Mar,18,25000000,24381334,25732334
Don't Be Afraid of the Dark,2011,Aug,26,25000000,24046682,39126427
The Losers,2010,Apr,23,25000000,23591432,29863840
Fighting,2009,Apr,24,25000000,23091010,32831707
War,2007,Aug,24,25000000,22486409,40686409
Don Juan DeMarco,1995,Apr,7,25000000,22032635,22032635
A Lot Like Love,2005,Apr,22,25000000,21835784,41921590
He Got Game,1998,May,1,25000000,21567853,22411948
The Eagle,2011,Feb,11,25000000,19490041,38993548
Shaun the Sheep,2015,Feb,6,25000000,19375982,101850986
Shark Night 3D,2011,Sep,2,25000000,18877153,18877153
CHiPS,2017,Mar,23,25000000,18600152,23190292
Punch-Drunk Love,2002,Oct,11,25000000,17791031,24591031
Eurotrip,2004,Feb,20,25000000,17718223,20718223
Father Figures,2017,Dec,22,25000000,17501244,21038441
The Ruins,2008,Apr,4,25000000,17432844,22910563
Masterminds,2016,Sep,23,25000000,17356894,30850666
The Counselor,2013,Oct,25,25000000,16973715,71009334
Unaccompanied Minors,2006,Dec,8,25000000,16655224,21970831
Mary Queen of Scots,2018,Dec,7,25000000,16648499,47020146
"Bright Lights, Big City",1988,Apr,1,25000000,16118077,16118077
Half Past Dead,2002,Nov,15,25000000,15567860,19233280
Legend,1986,Apr,18,25000000,15502112,23506237
The Adventures of Pinocchio,1996,Jul,26,25000000,15382170,36682170
The Greatest Game Ever Played,2005,Sep,30,25000000,15331289,15468266
The Box,2009,Nov,6,25000000,15051977,34356760
The Next Best Thing,2000,Mar,3,25000000,14983572,24355762
My Soul to Take,2010,Oct,8,25000000,14744435,16727470
The Girl Next Door,2004,Apr,9,25000000,14589444,31635150
Fly Me To the Moon,2008,Aug,15,25000000,14543943,43530281
Maximum Risk,1996,Sep,13,25000000,14102929,51702929
Stealing Harvard,2002,Sep,13,25000000,13973532,13973532
Hot Rod,2007,Aug,3,25000000,13938332,14371564
Warrior,2011,Sep,9,25000000,13657115,24215385
Angela's Ashes,1999,Dec,24,25000000,13038660,13038660
Battle of the Sexes,2017,Sep,22,25000000,12638526,18445379
Cirque du Soleil: Worlds Away,2012,Dec,21,25000000,12512862,28012862
The 33,2015,Aug,6,25000000,12227722,28287489
Lifeforce,1985,Jun,21,25000000,11603545,11603545
The Conspirator,2011,Apr,15,25000000,11538204,15907411
The Powerpuff Girls,2002,Jul,3,25000000,11411644,16425701
The Lords of Dogtown,2005,Jun,3,25000000,11273517,13424365
Big Trouble in Little China,1986,Jul,1,25000000,11100000,11208970
Michael Collins,1996,Oct,11,25000000,11092559,27572844
Stop-Loss,2008,Mar,28,25000000,10915744,11229035
Gettysburg,1993,Oct,8,25000000,10731997,10731997
Abandon,2002,Oct,18,25000000,10719367,12219367
Straw Dogs,2011,Sep,16,25000000,10324441,11253821
Brokedown Palace,1999,Aug,13,25000000,10115014,11115766
Possession,2002,Aug,16,25000000,10103647,14805812
Mrs. Winterbourne,1996,Apr,19,25000000,10039566,10039566
Stone Cold,1991,May,17,25000000,9286314,9286314
Serenity,2019,Jan,24,25000000,8547045,13008804
The Road,2009,Nov,25,25000000,8114270,29206732
Beautiful Boy,2018,Oct,12,25000000,7634767,13314562
The Hoax,2007,Apr,6,25000000,7164995,7164995
Captive State,2019,Mar,14,25000000,5958315,9363210
Sheena,1984,Aug,17,25000000,5778353,5778353
Underclassman,2005,Sep,2,25000000,5654777,5654777
Say It Isn't So,2001,Mar,23,25000000,5516708,5516708
The World's Fastest Indian,2005,Dec,7,25000000,5128124,18991288
Deception,2008,Apr,25,25000000,4598506,12850033
Tank Girl,1995,Mar,1,25000000,4064333,4064333
King's Ransom,2005,Apr,22,25000000,4008527,4049527
Bill & Ted Face the Music,2020,Aug,23,25000000,3439660,6266609
Blindness,2008,Oct,3,25000000,3073392,20052958
Sgt. Stubby: An American Hero,2018,Apr,13,25000000,3054285,3823620
Carnage,2011,Dec,16,25000000,2546747,38112154
Tulip Fever,2017,Aug,25,25000000,2455635,6792768
BloodRayne,2006,Jan,6,25000000,2405420,3711633
Legend,2015,Sep,11,25000000,1872994,42425450
Bad Lieutenant: Port of Call New Orleans,2009,Nov,20,25000000,1702112,12413949
Jane Got a Gun,2015,Dec,31,25000000,1513793,3771345
Me and Orson Welles,2009,Nov,25,25000000,1190003,1190003
All My Life,2020,Oct,23,25000000,913935,2015472
Venom,2005,Sep,16,25000000,881745,881745
Where the Truth Lies,2005,Oct,14,25000000,872142,1415656
Without Limits,1998,Sep,11,25000000,780326,780326
On the Road,2012,May,23,25000000,720828,9313302
Les petits mouchoirs,2012,Aug,24,25000000,205505,48530887
Love Ranch,2010,Jun,30,25000000,137885,146149
Yi ge ren de wu lin,2015,Apr,24,25000000,129115,129115
Dangerous Liaisons,2012,Nov,9,24200000,17000,10447579
Star Trek IV: The Voyage Home,1986,Nov,26,24000000,109713132,133000000
Scream 2,1997,Dec,12,24000000,101363301,172363301
The Addams Family,2019,Oct,11,24000000,97864733,200612027
Old School,2003,Feb,21,24000000,75155000,86737464
Rocky Balboa,2006,Dec,20,24000000,70269899,156229050
Think Like a Man Too,2014,Jun,18,24000000,65028687,70027933
Fences,2016,Dec,16,24000000,57682904,64282881
The Whole Nine Yards,2000,Feb,18,24000000,57262492,85527867
Footloose,2011,Oct,14,24000000,51802742,62989834
Going in Style,2017,Apr,5,24000000,45018541,80812424
Point Break,1991,Jul,12,24000000,43218387,83531958
The Fisher King,1991,Sep,20,24000000,41798224,41798224
I Still Know What You Did Last Summer,1998,Nov,13,24000000,40020622,40020622
Hitman,2007,Nov,21,24000000,39687694,99135571
"Hello, Dolly",1969,Dec,16,24000000,33208099,33208099
Return to Me,2000,Apr,7,24000000,32662299,32662299
The Men Who Stare at Goats,2009,Nov,6,24000000,32428195,67348218
Zack and Miri Make a Porno,2008,Oct,31,24000000,31457946,36856306
Double Take,2001,Jan,12,24000000,29823162,29823162
"Girl, Interrupted",1999,Dec,21,24000000,28871190,48308749
Nurse Betty,2000,Sep,8,24000000,25170054,27732366
Piranha 3D,2010,Aug,20,24000000,25003155,83660160
Faster,2010,Nov,24,24000000,23240020,35792945
Lock Up,1989,Aug,4,24000000,22099847,22099847
The Wiz,1978,Oct,24,24000000,22000000,22000000
Win a Date with Tad Hamilton!,2004,Jan,23,24000000,16980098,17589829
Muppets From Space,1999,Jul,14,24000000,16304786,16304786
Ready to Rumble,2000,Apr,7,24000000,12372410,12372410
Foxcatcher,2014,Nov,14,24000000,12096300,19303058
I Don't Know How She Does It,2011,Sep,16,24000000,9659074,24474463
Play it to the Bone,1999,Dec,24,24000000,8427204,8427204
Dhoom 3,2013,Dec,19,24000000,8031955,11723620
Beyond the Sea,2004,Dec,17,24000000,6144806,8292914
Hauru no ugoku shiro,2005,Jun,10,24000000,4710455,237814327
Meet the Deedles,1998,Mar,27,24000000,4356126,4356126
The Thief and the Cobbler,1995,Aug,25,24000000,669276,669276
The Bridge of San Luis Rey,2005,Jun,10,24000000,49981,1696765
Zombieland,2009,Oct,2,23600000,75590286,102236596
Star Wars Ep. V: The Empire Strikes Back,1980,May,20,23000000,291738960,549001242
The Waterboy,1998,Nov,6,23000000,161491646,190191646
The Naked Gun 2½: The Smell of Fear,1991,Jun,28,23000000,86930411,86930411
Green Book,2018,Nov,16,23000000,85080171,320029388
Dangerous Minds,1995,Aug,11,23000000,84919401,178919401
Bad Boys,1995,Apr,7,23000000,65647413,141247413
The Wedding Ringer,2015,Jan,16,23000000,64460211,80171596
Final Destination,2000,Mar,17,23000000,53302314,112036870
King Kong,1976,Dec,17,23000000,52614445,90614445
The Ides of March,2011,Oct,7,23000000,40962534,77735925
Pitch Black,2000,Feb,18,23000000,39235088,53182088
The Hate U Give,2018,Oct,5,23000000,29719483,35067665
Someone Like You,2001,Mar,30,23000000,27338033,38684906
Her,2014,Jan,10,23000000,25568251,48043998
Joy Ride,2001,Oct,5,23000000,21973182,22204890
Kari gurashi no Arietti,2012,Jan,12,23000000,19192510,151496097
Haywire,2012,Jan,20,23000000,18942396,36374700
Anywhere But Here,1999,Nov,12,23000000,18653615,18653615
Vanity Fair,2004,Sep,1,23000000,16123851,19123851
Eddie the Eagle,2016,Feb,26,23000000,15789389,45060480
Jaws 4: The Revenge,1987,Jul,17,23000000,15728335,15728335
The Marksman,2021,Jan,15,23000000,15566093,21197274
The Way Back,2020,Mar,5,23000000,13590514,14563409
The Crew,2000,Aug,25,23000000,13019253,13019253
Marvin's Room,1996,Dec,20,23000000,12803305,12803305
Chasing Liberty,2004,Jan,9,23000000,12189514,12291975
The Longshots,2008,Aug,22,23000000,11511323,11778396
The End of the Affair,1999,Dec,3,23000000,10660147,10660147
Harley Davidson and the Marlboro Man,1991,Aug,23,23000000,7018525,7018525
In the Valley of Elah,2007,Sep,14,23000000,6777741,24489150
Coco avant Chanel,2009,Sep,25,23000000,6113834,50813834
Chéri,2009,Jun,26,23000000,2715657,2715657
Redemption,2013,Jun,28,23000000,36686,13593473
Rogue,2008,Apr,25,23000000,10452,4673377
Spaceballs,1987,Jun,24,22700000,38119483,38119483
1408,2007,Jun,22,22500000,71985628,131263370
Nocturnal Animals,2016,Nov,4,22500000,10663357,32398681
The Water Diviner,2014,Dec,26,22500000,4200117,31054727
Ghost,1990,Jul,13,22000000,217631306,517600000
There's Something About Mary,1998,Jul,15,22000000,176484651,369884651
The Santa Clause,1994,Nov,11,22000000,145539357,190506000
The Nun,2018,Sep,6,22000000,117450119,363391647
The Game Plan,2007,Sep,28,22000000,90648202,146590987
The Rookie,2002,Mar,29,22000000,75600072,80491516
The Bridges of Madison County,1995,Jun,2,22000000,71516617,175516617
Son of God,2014,Feb,28,22000000,59700064,70949793
The Animal,2001,Jun,1,22000000,55762229,55762229
The Hundred-Foot Journey,2014,Aug,8,22000000,54235441,94270488
Gandhi,1982,Dec,8,22000000,52767889,127767889
Underworld,2003,Sep,19,22000000,51970690,95708457
The Net,1995,Jul,28,22000000,50621733,110521733
Diary of a Wimpy Kid: Dog Days,2012,Aug,3,22000000,49008662,77229695
I Am Sam,2001,Dec,28,22000000,40270895,92542418
The Gentlemen,2019,Dec,27,22000000,36471796,113876604
Derailed,2005,Nov,11,22000000,36020063,57520063
The Informant!,2009,Sep,18,22000000,33316821,41771168
Delivery Man,2013,Nov,21,22000000,30659817,55616322
"Hail, Caesar!",2016,Feb,5,22000000,30080225,64220196
Jay and Silent Bob Strike Back,2001,Aug,24,22000000,30059386,33762400
Shadowlands,1993,Dec,29,22000000,25842377,25842377
Traitor,2008,Aug,27,22000000,23530831,27882226
Deuce Bigalow: European Gigolo,2005,Aug,12,22000000,22400154,45273464
Diary of a Wimpy Kid: The Long Haul,2017,May,19,22000000,20738724,35609577
Mad Money,2008,Jan,18,22000000,20668843,25044057
Homefront,2013,Nov,27,22000000,20158492,51695362
Igor,2008,Sep,19,22000000,19528602,31013349
Saving Silverman,2001,Feb,9,22000000,19351569,25873142
Summer of Sam,1999,Jul,2,22000000,19288130,19288130
The Glass House,2001,Sep,14,22000000,17951431,22861785
The Transporter Refueled,2015,Sep,2,22000000,16029670,69698495
The Island,1980,Jun,13,22000000,15716828,15716828
Josie and the Pussycats,2001,Apr,11,22000000,14252830,14307223
Hit & Run,2012,Aug,22,22000000,13749300,17216955
The Little Vampire,2000,Oct,13,22000000,13555988,13560782
I Heart Huckabees,2004,Oct,1,22000000,12784713,20034713
"Roman J. Israel, Esq.",2017,Nov,17,22000000,11962712,12967012
Out of the Furnace,2013,Dec,4,22000000,11330849,15434375
RoboCop 3,1993,Nov,5,22000000,10696210,10696210
Dudley Do-Right,1999,Aug,27,22000000,9818792,9818792
Just Getting Started,2017,Dec,8,22000000,6069605,6756412
Megiddo: Omega Code 2,2001,Sep,21,22000000,6047691,6047691
Darling Lili,1970,Jun,24,22000000,5000000,5000000
The Libertine,2005,Nov,23,22000000,4835065,9448623
Zwartboek,2007,Apr,6,22000000,4398532,27238354
Before I Go to Sleep,2014,Oct,31,22000000,3242457,19563579
Stone,2010,Oct,8,22000000,1810078,4065020
Joyeux Noël,2006,Mar,3,22000000,1054361,23134075
Sorcerer,1977,Jun,24,21600000,12000000,12006010
Molière,2007,Jul,27,21600000,635733,791154
Michael Clayton,2007,Oct,5,21500000,49033882,92987651
Arlington Road,1999,Jul,9,21500000,24419219,24419219
My Fellow Americans,1996,Dec,20,21500000,22331846,22331846
To Rome with Love,2012,Apr,20,21500000,16684352,74290305
Silver Linings Playbook,2012,Nov,16,21000000,132092958,236412453
Blockers,2018,Mar,29,21000000,60311495,94523781
Pet Sematary,2019,Apr,5,21000000,54724696,111809732
"South Park: Bigger, Longer & Uncut",1999,Jun,30,21000000,52037603,52037603
Firefox,1982,Jun,18,21000000,45785720,45785720
Death at a Funeral,2010,Apr,16,21000000,42739347,48977233
Teenage Mutant Ninja Turtles III,1993,Mar,19,21000000,42273609,42273609
Hardball,2001,Sep,14,21000000,40222729,43728560
For Colored Girls,2010,Nov,5,21000000,37729698,38017873
Freedom Writers,2007,Jan,5,21000000,36605602,43632609
The Hustle,2019,May,8,21000000,35417038,97409779
Kidnap,2017,Aug,4,21000000,30718107,34836080
The Transporter,2002,Oct,11,21000000,25296447,43928932
Never Back Down,2008,Mar,14,21000000,24850922,39319801
Tinker Tailor Soldier Spy,2011,Dec,9,21000000,24149393,81428388
Victoria and Abdul,2017,Sep,13,21000000,22245070,68271146
The Bachelor,1999,Nov,5,21000000,21731001,36882378
The Rage: Carrie 2,1999,Mar,12,21000000,17760244,17760244
Swing Vote,2008,Aug,1,21000000,16289867,17589867
Away We Go,2009,Jun,5,21000000,9451946,10108016
Moonlight Mile,2002,Sep,27,21000000,6830957,6830957
The Beaver,2011,May,6,21000000,970816,5046038
Bitter Harvest,2017,Feb,24,21000000,557241,606162
Molly,1999,Oct,22,21000000,17396,17396
Hustlers,2019,Sep,12,20700000,104963598,150472713
eXistenZ,1999,Apr,23,20700000,2840417,2840417
The Best Little Whorehouse in Texas,1982,Jul,23,20500000,69701637,69701637
Pulse,2006,Aug,11,20500000,20264436,30241435
Raiders of the Lost Ark,1981,Jun,12,20000000,225686079,367452079
Beauty and the Beast,1991,Nov,13,20000000,206333165,438656843
Us,2019,Mar,20,20000000,175084580,256091919
Home Alone 2: Lost in New York,1992,Nov,20,20000000,173585516,358994850
Close Encounters of the Third Kind,1977,Nov,16,20000000,169100479,340800479
Beverly Hills Cop II,1987,May,20,20000000,153665036,276665036
La La Land,2016,Nov,30,20000000,151101803,445607848
The Conjuring,2013,Jul,18,20000000,137400141,317744402
Bringing Down the House,2003,Mar,7,20000000,132675402,164675402
Wonder,2017,Oct,17,20000000,132422809,312755215
The Silence of the Lambs,1991,Feb,14,20000000,130726716,275726716
Wayne's World,1992,Feb,14,20000000,121697323,183097323
Jackass 3D,2010,Oct,15,20000000,117229692,171685793
Bad Moms,2016,Jul,29,20000000,113257297,180485601
Glass,2019,Jan,17,20000000,111048468,246999039
Jaws 2,1978,Jun,16,20000000,102922376,208900376
Beverly Hills Chihuahua,2008,Oct,3,20000000,94514402,154218168
Tammy,2014,Jul,2,20000000,84525432,96407655
Good Boys,2019,Aug,14,20000000,83140306,111173598
Are We There Yet?,2005,Jan,21,20000000,82674398,98114471
The Descendants,2011,Nov,16,20000000,82624961,175507800
School of Rock,2003,Oct,3,20000000,81261177,131944672
Disturbia,2007,Apr,13,20000000,80818974,118537627
Cocktail,1988,Jul,29,20000000,78222753,78222753
Free Willy,1993,Jul,16,20000000,77698625,153698625
Tyler Perry’s A Madea Family Funeral,2019,Feb,27,20000000,73257045,74781999
Tyler Perry’s Boo! A Madea Halloween,2016,Oct,21,20000000,73206343,73206343
Mortal Kombat,1995,Aug,18,20000000,70433227,122133227
White Chicks,2004,Jun,23,20000000,69148997,111448997
Obsessed,2009,Apr,24,20000000,68261644,73964713
Holes,2003,Apr,18,20000000,67383924,71232214
Tyler Perry's Madea's Witness Protection,2012,Jun,29,20000000,65653242,66950887
The Last Song,2010,Mar,31,20000000,62950384,92678948
Why Did I Get Married Too?,2010,Apr,2,20000000,60095852,60831067
La vita è bella,1998,Oct,23,20000000,57598247,229375361
The Shack,2017,Mar,3,20000000,57386418,96908458
12 Years a Slave,2013,Oct,18,20000000,56671993,180765061
Drumline,2002,Dec,13,20000000,56398162,56398875
Me Before You,2016,Jun,1,20000000,56245075,208265198
What Men Want,2019,Feb,8,20000000,54611903,69911903
Barbershop: The Next Cut,2016,Apr,15,20000000,54030051,54404202
Edward Scissorhands,1990,Dec,7,20000000,53976987,53980220
A Simple Favor,2018,Sep,12,20000000,53548586,97628717
Selma,2015,Jan,9,20000000,52076908,66776576
A Walk in the Clouds,1995,Aug,11,20000000,50008143,50008143
Popeye,1980,Dec,12,20000000,49823037,49823037
Date Movie,2006,Feb,17,20000000,48548426,85146165
Peter Pan: Return to Neverland,2002,Feb,15,20000000,48430258,109862682
The Jungle Book 2,2003,Feb,14,20000000,47901582,139924202
Premonition,2007,Mar,16,20000000,47852604,81461343
Tyler Perry’s Boo 2! A Madea Halloween,2017,Oct,20,20000000,47319572,47879572
Boogeyman,2005,Feb,4,20000000,46752382,67192859
The Tigger Movie,2000,Feb,11,20000000,45542421,96147688
Spotlight,2015,Nov,6,20000000,45055776,91902438
Queen & Slim,2019,Nov,27,20000000,43808310,47936399
Acrimony,2018,Mar,29,20000000,43549096,46627836
Max,2015,Jun,25,20000000,42656255,43658157
Meet the Browns,2008,Mar,21,20000000,41975388,41975388
Orphan,2009,Jul,24,20000000,41596251,78769428
The Star,2017,Nov,15,20000000,40847995,62758010
Epic Movie,2007,Jan,26,20000000,39739367,86858578
Lakeview Terrace,2008,Sep,19,20000000,39263506,44821299
The Grudge 2,2006,Oct,13,20000000,39143839,70743839
Nerve,2016,Jul,27,20000000,38583626,85583945
Conan the Barbarian,1982,May,14,20000000,38264085,79114085
How Stella Got Her Groove Back,1998,Aug,14,20000000,37672944,37672944
Bill & Ted's Bogus Journey,1991,Jul,19,20000000,37537675,37540024
Man of the Year,2006,Oct,13,20000000,37442180,41342180
Risen,2016,Feb,18,20000000,36880033,46244066
Vampires Suck,2010,Aug,18,20000000,36661504,81424988
The Black Hole,1979,Dec,21,20000000,35841901,35841901
The American,2010,Sep,1,20000000,35606376,67950723
Selena,1997,Mar,21,20000000,35450113,35450113
A Very Harold & Kumar 3D Christmas,2011,Nov,4,20000000,35061031,36265745
Eternal Sunshine of the Spotless Mind,2004,Mar,19,20000000,34366518,72401378
Texas Chainsaw 3D,2013,Jan,4,20000000,34341945,47666013
Babel,2006,Oct,27,20000000,34302837,132121212
This is Where I Leave You,2014,Sep,19,20000000,34296320,41296320
Doubt,2008,Dec,12,20000000,33446470,53191101
Team America: World Police,2004,Oct,15,20000000,32774834,50948811
Copycat,1995,Oct,27,20000000,32051917,32051917
Scary Movie V,2013,Apr,11,20000000,32015787,78613981
She's Out of My League,2010,Mar,12,20000000,32010860,48680977
Milk,2008,Nov,26,20000000,31841299,57293371
Paint Your Wagon,1969,Oct,15,20000000,31678778,31678778
The Debt,2011,Aug,31,20000000,31177548,46604054
Ghost Ship,2002,Oct,25,20000000,30113491,68349884
Daybreakers,2010,Jan,8,20000000,30101577,51445503
The Bank Job,2008,Mar,7,20000000,30060660,66143005
Wild Things,1998,Mar,20,20000000,29795299,55576699
The Stepfather,2009,Oct,16,20000000,29062561,29227561
High Fidelity,2000,Mar,31,20000000,27277055,47881663
Stick It,2006,Apr,28,20000000,26910736,30399714
One Missed Call,2008,Jan,4,20000000,26890041,44513466
Eye for an Eye,1996,Jan,12,20000000,26792700,26792700
Street Kings,2008,Apr,11,20000000,26418667,65457811
The World's End,2013,Jul,19,20000000,26004851,47124638
From Dusk Till Dawn,1996,Jan,19,20000000,25728961,25736162
You Again,2010,Sep,24,20000000,25702053,32838945
Nancy Drew,2007,Jun,15,20000000,25584685,30703845
Alpha and Omega 3D,2010,Sep,17,20000000,25107267,48958353
On the Basis of Sex,2018,Nov,23,20000000,24704837,38883444
Endless Love,2014,Feb,14,20000000,23438250,34718173
The Covenant,2006,Sep,8,20000000,23364784,38164784
Spiral,2021,May,12,20000000,23216862,39522047
Monte Carlo,2011,Jul,1,20000000,23186769,39686769
Stay Alive,2006,Mar,24,20000000,23086480,23187506
2 For the Money,2005,Oct,7,20000000,22991379,30491379
Rough Night,2017,Jun,14,20000000,22105643,46844357
Psycho,1998,Dec,4,20000000,21541218,37226218
Quigley Down Under,1990,Oct,19,20000000,21413105,21413105
To Die For,1995,Sep,27,20000000,21284514,27688744
Shorts,2009,Aug,21,20000000,20919166,29870801
Vampires,1998,Oct,30,20000000,20268825,20268825
Appaloosa,2008,Sep,19,20000000,20211394,27911453
